Gender,Age,Education,Income,Income2,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings
Female,65,3,"Less than $30,000",<30k,retired,NSW,married,2.566666667,Q1,4.466666667,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes
Male,59,4,"$210,001 to $240,000",>120k,manager or administrator,NSW,married,2.8,Q1,2.6,2.222222222,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Female,41,3,"$60,001 to $90,000",60-90k,home-duties,QLD,married,3.533333333,Q2,3.4,3,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Female,45,1,"$30,001 to $60,000",30-60k,home-duties,SA,separated or divorced,4.233333333,Q4,4.066666667,3.5,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,49,1,"$60,001 to $90,000",60-90k,sales,WA,living with a partner,3.666666667,Q2,3.466666667,NA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Female,23,7,"$60,001 to $90,000",60-90k,professional,WA,living with a partner,2.8,Q1,2.266666667,1.966666667,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Male,58,7,"$30,001 to $60,000",30-60k,small business owner,NSW,separated or divorced,3.466666667,Q2,3.333333333,2.3,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no
Female,61,1,"$30,001 to $60,000",30-60k,home-duties,QLD,married,4.033333333,Q3,3.6,3.689655172,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
Female,40,4,"$90,001 to $120,000",90-120k,professional,VIC,living with a partner,4.1,Q3,3.133333333,3.947368421,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Female,33,2,"$30,001 to $60,000",30-60k,unemployed,NSW,married,5,Q4,2.533333333,3.633333333,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Male,59,1,"$30,001 to $60,000",30-60k,retired,QLD,married,3.1,Q1,2.933333333,2.833333333,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Male,54,7,"$120,001 to $150,000",>120k,manager or administrator,VIC,married,4.3,Q4,4.133333333,3.260869565,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes
Male,27,7,"$60,001 to $90,000",60-90k,manager or administrator,Tas,single,2.7,Q1,2.266666667,3.260869565,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
Male,41,8,"$90,001 to $120,000",90-120k,sales,VIC,married,3.133333333,Q1,3.066666667,2.366666667,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Female,32,7,"$30,001 to $60,000",30-60k,home-duties,NSW,married,3.633333333,Q2,4.066666667,2.68,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Female,41,8,"$30,001 to $60,000",30-60k,professional,VIC,single,4.166666667,Q3,4.666666667,4.19047619,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no
Male,50,7,"$30,001 to $60,000",30-60k,Clerical or service worker,NSW,married,4.133333333,Q3,3.533333333,2.875,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes
Male,21,7,"$60,001 to $90,000",60-90k,sales,VIC,single,3.8,Q2,3.8,2.275862069,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes
Male,45,6,"$90,001 to $120,000",90-120k,transport worker,QLD,married,4.033333333,Q3,3.666666667,2.695652174,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,71,1,"Less than $30,000",<30k,retired,Tas,living with a partner,3.8,Q2,3,2.5,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Male,37,8,"$30,001 to $60,000",30-60k,professional,NSW,married,3.966666667,Q3,3.866666667,4.19047619,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no
Female,40,2,"$90,001 to $120,000",90-120k,Clerical or service worker,NSW,married,3.333333333,Q1,3.866666667,2.214285714,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes
Female,46,4,"$60,001 to $90,000",60-90k,small business owner,NSW,married,3.266666667,Q1,3.533333333,2.684210526,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes
Female,55,2,"$30,001 to $60,000",30-60k,Clerical or service worker,QLD,married,3.7,Q2,4.2,4.071428571,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes
Male,60,2,"Less than $30,000",<30k,retired,VIC,married,3.6,Q2,4.133333333,3.344827586,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes
Male,37,1,"$90,001 to $120,000",90-120k,professional,VIC,NA,2.433333333,Q1,3.133333333,2.2,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Male,56,8,"$60,001 to $90,000",60-90k,Clerical or service worker,WA,married,4.033333333,Q3,4.266666667,3.666666667,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes
Female,56,6,"$90,001 to $120,000",90-120k,Clerical or service worker,QLD,married,4.4,Q4,4.466666667,3.433333333,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes
Female,36,1,"$60,001 to $90,000",60-90k,Clerical or service worker,VIC,living with a partner,4.266666667,Q4,4.066666667,3.857142857,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes
Female,36,6,"Less than $30,000",<30k,professional,NSW,separated or divorced,3.633333333,Q2,3.6,3.25,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Male,52,2,"$90,001 to $120,000",90-120k,small business owner,NSW,married,3.666666667,Q2,3.333333333,1.933333333,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no
Female,63,6,"$30,001 to $60,000",30-60k,sales,QLD,separated or divorced,4.233333333,Q4,3.466666667,3.038461538,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no
Female,58,1,"Less than $30,000",<30k,Clerical or service worker,VIC,separated or divorced,4,Q3,4.333333333,2.466666667,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Male,62,3,"$30,001 to $60,000",30-60k,transport worker,QLD,married,4.333333333,Q4,4.866666667,3.482758621,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no
Female,59,2,"$30,001 to $60,000",30-60k,home-duties,NSW,separated or divorced,3.3,Q1,4.266666667,NA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Female,38,2,"Less than $30,000",<30k,home-duties,VIC,separated or divorced,4.4,Q4,4.133333333,4.466666667,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes
Female,42,1,"Less than $30,000",<30k,home-duties,QLD,married,4.133333333,Q3,3.4,4.4,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no
Male,39,4,"$150,001 to $180,000",>120k,professional,NSW,single,4.966666667,Q4,4.266666667,2.818181818,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Female,58,8,"$60,001 to $90,000",60-90k,manager or administrator,QLD,separated or divorced,4.3,Q4,4.266666667,2.586206897,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes
Male,46,8,"$150,001 to $180,000",>120k,manager or administrator,NSW,married,4,Q3,4.066666667,2.62962963,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes
Male,55,7,"$60,001 to $90,000",60-90k,professional,WA,separated or divorced,4.366666667,Q4,4.466666667,3.166666667,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Male,36,8,"$30,001 to $60,000",30-60k,unemployed,WA,living with a partner,1,Q1,3.8,2.117647059,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,60,8,"$90,001 to $120,000",90-120k,manager or administrator,NSW,married,4.333333333,Q4,3.733333333,2.931034483,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes
Female,41,6,"$30,001 to $60,000",30-60k,home-duties,NSW,married,4,Q3,3.4,4.545454545,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Female,41,1,"$60,001 to $90,000",60-90k,home-duties,QLD,married,4.066666667,Q3,4.066666667,3.533333333,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes
Female,36,3,"$60,001 to $90,000",60-90k,Clerical or service worker,QLD,married,4.233333333,Q4,3.933333333,3.481481481,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no
Female,55,2,"Less than $30,000",<30k,retired,QLD,separated or divorced,4.6,Q4,4.2,3.851851852,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no
Male,21,7,"$30,001 to $60,000",30-60k,unemployed,NSW,single,3.333333333,Q1,2.333333333,2.260869565,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes
Female,44,6,"$30,001 to $60,000",30-60k,manager or administrator,WA,single,3.8,Q2,3.666666667,3.625,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes
Female,55,8,"$120,001 to $150,000",>120k,home-duties,NSW,married,3.3,Q1,3.066666667,2.633333333,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes
Female,61,8,"$120,001 to $150,000",>120k,professional,VIC,married,3.633333333,Q2,4.266666667,3.444444444,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
Female,38,7,NA,NA,Clerical or service worker,NSW,married,3.933333333,Q3,4.733333333,3.3,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes
Female,61,7,"$60,001 to $90,000",60-90k,professional,NSW,single,4.466666667,Q4,3.4,3.75,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes
Male,64,8,"$90,001 to $120,000",90-120k,professional,QLD,married,3.733333333,Q2,2.666666667,2.866666667,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no
Female,59,2,"$60,001 to $90,000",60-90k,NA,NSW,married,4.3,Q4,3.666666667,3.142857143,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes
Female,38,1,"$60,001 to $90,000",60-90k,labourer,VIC,married,3.5,Q2,4.4,3,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes
Male,21,7,"$180,001 to $210,000",>120k,professional,NSW,single,3.8,Q2,3.6,3.076923077,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Female,60,4,"$90,001 to $120,000",90-120k,professional,SA,married,3.5,Q2,3.533333333,2.583333333,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes
Female,58,3,"$30,001 to $60,000",30-60k,home-duties,VIC,married,3.9,Q3,3.6,3.25,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no
Female,74,1,"$30,001 to $60,000",30-60k,sales,NSW,married,2.666666667,Q1,3.733333333,1.933333333,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes
Female,58,1,"Less than $30,000",<30k,retired,VIC,single,3.933333333,Q3,4.333333333,2.761904762,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes
Male,45,2,"$30,001 to $60,000",30-60k,manager or administrator,VIC,married,3.566666667,Q2,3.266666667,2.766666667,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Female,39,3,"$120,001 to $150,000",>120k,manager or administrator,NSW,married,3.7,Q2,2.866666667,3,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes
Male,57,3,"$30,001 to $60,000",30-60k,Clerical or service worker,NSW,married,2.566666667,Q1,2.266666667,1.75862069,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes
Female,39,7,"$120,001 to $150,000",>120k,manager or administrator,NSW,single,4.766666667,Q4,4.533333333,4.533333333,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Female,84,2,NA,NA,Clerical or service worker,VIC,married,3.133333333,Q1,3,2.944444444,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes
Male,27,7,"$120,001 to $150,000",>120k,professional,NSW,married,4.433333333,Q4,3.933333333,3.727272727,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes
Male,47,3,"$30,001 to $60,000",30-60k,NA,NSW,married,3.633333333,Q2,3.066666667,2.068965517,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,24,3,"$30,001 to $60,000",30-60k,home-duties,VIC,married,4.433333333,Q4,3.333333333,1.931034483,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes
Female,60,4,NA,NA,home-duties,VIC,single,4.433333333,Q4,3.333333333,3,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes
Male,21,2,"$30,001 to $60,000",30-60k,manager or administrator,NSW,single,3.533333333,Q2,3.466666667,2.2,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,55,6,"$30,001 to $60,000",30-60k,retired,NSW,married,3.833333333,Q3,4.066666667,3.583333333,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes
Male,23,6,"$120,001 to $150,000",>120k,manager or administrator,NSW,single,3.033333333,Q1,3.733333333,1.966666667,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Female,61,1,NA,NA,home-duties,QLD,married,3.766666667,Q2,3.466666667,2.857142857,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes
Male,60,1,"$30,001 to $60,000",30-60k,small business owner,QLD,married,3.933333333,Q3,3.4,3.4,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes
Female,55,1,"Less than $30,000",<30k,home-duties,QLD,married,3.966666667,Q3,4.133333333,3.055555556,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no
Male,29,7,"$30,001 to $60,000",30-60k,professional,NSW,single,3.4,Q2,3.266666667,2.47826087,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes
Male,59,8,"$180,001 to $210,000",>120k,retired,WA,living with a partner,4.233333333,Q4,5,3.833333333,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes
Female,49,6,"$30,001 to $60,000",30-60k,Clerical or service worker,WA,married,3.733333333,Q2,3.6,2.692307692,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes
Male,22,6,"$60,001 to $90,000",60-90k,professional,SA,living with a partner,3.1,Q1,2.533333333,2.233333333,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes
Female,61,8,"$30,001 to $60,000",30-60k,Clerical or service worker,VIC,single,2.733333333,Q1,2.933333333,2.318181818,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Female,40,2,"$60,001 to $90,000",60-90k,manager or administrator,NSW,married,3.366666667,Q1,3.266666667,1.965517241,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Male,52,2,"Less than $30,000",<30k,transport worker,SA,separated or divorced,4.033333333,Q3,4.2,3.666666667,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes
Female,27,8,"$90,001 to $120,000",90-120k,professional,NSW,married,3.866666667,Q3,3.133333333,3,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Male,56,7,"$90,001 to $120,000",90-120k,professional,NSW,married,2,Q1,3,2.4,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Female,43,7,"$180,001 to $210,000",>120k,manager or administrator,NSW,living with a partner,3.533333333,Q2,3.066666667,NA,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,41,7,"$210,001 to $240,000",>120k,professional,NSW,married,3.5,Q2,3.4,2.730769231,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes
Male,29,7,"Less than $30,000",<30k,professional,NSW,single,3.066666667,Q1,4.2,2.545454545,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes
Female,25,6,"$30,001 to $60,000",30-60k,tradesperson,VIC,single,4.8,Q4,3.466666667,3.233333333,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes
Male,35,8,"$60,001 to $90,000",60-90k,manager or administrator,QLD,married,4.233333333,Q4,3.8,2.291666667,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Female,59,1,"$30,001 to $60,000",30-60k,NA,VIC,married,4.233333333,Q4,3.733333333,3.571428571,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes
Male,27,3,NA,NA,Clerical or service worker,VIC,single,4,Q3,3.066666667,2.966666667,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,42,6,"$90,001 to $120,000",90-120k,professional,SA,married,4.766666667,Q4,3.2,4.2,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes
Female,63,3,"Less than $30,000",<30k,retired,WA,separated or divorced,3.166666667,Q1,4.066666667,3.045454545,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes
Male,47,7,"more than $240,001",>120k,manager or administrator,NSW,living with a partner,2.7,Q1,2.733333333,3.103448276,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
Female,26,1,"$60,001 to $90,000",60-90k,home-duties,VIC,married,3.866666667,Q3,3.733333333,2.636363636,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes
Male,50,3,"$60,001 to $90,000",60-90k,small business owner,VIC,single,3.4,Q2,3.066666667,2.9375,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes
Male,31,3,"$120,001 to $150,000",>120k,manager or administrator,ACT,living with a partner,2.966666667,Q1,4.2,2.733333333,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Female,60,1,"Less than $30,000",<30k,retired,NSW,married,3.533333333,Q2,3.066666667,3.411764706,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,36,3,"$90,001 to $120,000",90-120k,NA,QLD,married,3.2,Q1,3.133333333,2.260869565,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,22,7,NA,NA,professional,NSW,single,3.666666667,Q2,4,3.04,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,59,7,"$150,001 to $180,000",>120k,small business owner,VIC,married,3.533333333,Q2,2.6,3.296296296,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes
Female,31,7,"$210,001 to $240,000",>120k,professional,NSW,married,2.533333333,Q1,2.733333333,2.1,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes
Male,37,7,"$30,001 to $60,000",30-60k,labourer,QLD,married,3.333333333,Q1,2.466666667,2.266666667,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
Female,42,1,"$30,001 to $60,000",30-60k,home-duties,WA,married,3.666666667,Q2,3.6,3,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
Male,33,7,"$60,001 to $90,000",60-90k,professional,NSW,married,4.366666667,Q4,3.133333333,3.666666667,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Male,39,4,"$30,001 to $60,000",30-60k,manager or administrator,VIC,married,3.433333333,Q2,4.2,2.62962963,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes
Male,31,7,"$30,001 to $60,000",30-60k,Clerical or service worker,SA,separated or divorced,4.6,Q4,4.133333333,4.1,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes
Female,59,2,"$30,001 to $60,000",30-60k,NA,NSW,married,3.433333333,Q2,2.133333333,2.45,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes
Male,57,7,"$60,001 to $90,000",60-90k,manager or administrator,NSW,separated or divorced,4.966666667,Q4,4.666666667,2.5,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no
Male,41,6,"$30,001 to $60,000",30-60k,tradesperson,QLD,single,3.433333333,Q2,4.2,2.033333333,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no
Male,43,6,"$30,001 to $60,000",30-60k,manager or administrator,WA,married,3.4,Q2,3.8,3,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes
Male,33,3,"$60,001 to $90,000",60-90k,labourer,SA,single,3.566666667,Q2,3.933333333,3.24,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes
Male,23,6,"$120,001 to $150,000",>120k,sales,VIC,single,3.733333333,Q2,4,3,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no
Male,53,6,"$90,001 to $120,000",90-120k,Clerical or service worker,VIC,married,3.933333333,Q3,4.4,2.666666667,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes
Female,65,3,"$30,001 to $60,000",30-60k,retired,NSW,married,4.433333333,Q4,4.133333333,3.636363636,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes
Male,48,3,"$30,001 to $60,000",30-60k,home-duties,VIC,married,3.333333333,Q1,3.333333333,1.793103448,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes
Female,63,3,"$30,001 to $60,000",30-60k,retired,VIC,married,4.433333333,Q4,3.666666667,3.722222222,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no
Female,36,7,"$60,001 to $90,000",60-90k,professional,VIC,married,4.066666667,Q3,4.133333333,2.185185185,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
Female,51,8,"$90,001 to $120,000",90-120k,small business owner,WA,married,3.966666667,Q3,3.6,3.538461538,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes
Male,58,7,"$180,001 to $210,000",>120k,professional,NSW,married,4.7,Q4,3.2,3.3,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
Female,53,4,"Less than $30,000",<30k,Clerical or service worker,QLD,separated or divorced,4.266666667,Q4,4.466666667,3.619047619,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Male,66,4,"$60,001 to $90,000",60-90k,retired,WA,married,3.666666667,Q2,2.666666667,3.037037037,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no
Male,74,4,"$30,001 to $60,000",30-60k,tradesperson,SA,married,2.933333333,Q1,3.466666667,1.9,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,38,3,"$150,001 to $180,000",>120k,professional,NSW,living with a partner,4.366666667,Q4,4,2.966666667,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no
Male,34,7,"$60,001 to $90,000",60-90k,professional,VIC,married,4.733333333,Q4,3.466666667,3.772727273,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes
Male,58,4,"$90,001 to $120,000",90-120k,manager or administrator,NSW,married,3,Q1,3.133333333,2.966666667,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
Female,40,4,"$30,001 to $60,000",30-60k,small business owner,QLD,married,3.2,Q1,3.933333333,2.233333333,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes
Female,55,4,NA,NA,NA,NSW,widowed,3.866666667,Q3,4.2,4.235294118,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Male,30,4,"$60,001 to $90,000",60-90k,manager or administrator,QLD,living with a partner,4.166666667,Q3,3.8,2.666666667,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no
Male,42,2,"$30,001 to $60,000",30-60k,professional,NSW,married,3.366666667,Q1,4.133333333,NA,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,58,3,"$30,001 to $60,000",30-60k,professional,NSW,single,4.466666667,Q4,4.533333333,3.391304348,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes
Male,35,3,"$60,001 to $90,000",60-90k,manager or administrator,QLD,single,4.266666667,Q4,3.466666667,2.666666667,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Female,58,1,"$90,001 to $120,000",90-120k,Clerical or service worker,QLD,married,4.333333333,Q4,4,4.1,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no
Female,70,2,"$60,001 to $90,000",60-90k,professional,VIC,living with a partner,3.933333333,Q3,3.066666667,4.5,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
